trade_id,datetime,market,direction,timeframe,session_id,entry_price,exit_price,shares,pnl,result,bid_depth_098,ask_depth_099,imbalance_ratio,order_id,token_id,slot,resolution_ts,resolution_ask
64e5118b,2026-03-25 00:59:41,ETH 5m DOWN,DOWN,5m,eth-5m-1774396500-down,0.99,1.0,30,0.3000,WIN,5.0,0.57,8.7719,0x0458ab97cef8da3d50aabc46687cbe574c2dc6f403c0526ad97cfdfbbc85ebff,44360897259393041045829563904455736364611125954823019539678072212327695637881,1774396500,2026-03-25 01:04:11,1.0
264e539b,2026-03-25 01:09:52,ETH 5m UP,UP,5m,eth-5m-1774397100-up,0.99,1.0,30,0.3000,WIN,278.05,47.38,5.8685,0x6aa7b4acf38c7b5a48681bd9ce89e43f522a6aab5cca448b2acfd59b71ca1f5d,40397608361689370277158475927084745885089309010776240398709654114664562715094,1774397100,2026-03-25 01:16:11,1.0
d32388b5,2026-03-25 01:10:43,BTC 15m UP,UP,15m,btc-15m-1774396800-up,0.99,1.0,30,0.3000,WIN,2094.18,747.86,2.8002,0x5e699d4e5d79f165c61657f3c56d51cbc53734fa704439546af1b2ae4f4a9e1c,26858606488824792493447460443072490551208532942780956113971769677890617112731,1774396800,2026-03-25 01:21:12,1.0
74847a6a,2026-03-25 01:12:33,ETH 15m UP,UP,15m,eth-15m-1774396800-up,0.99,1.0,30,0.3000,WIN,637.78,475.62,1.3409,0xa13ca1dfe8a7e5b561c32d090a13a7a94cdff09125ba14e06ad9f485d5ab3792,23375634227980340119744461893473332537698807193711916887941928163754193235682,1774396800,2026-03-25 01:17:11,1.0
5adb111c,2026-03-25 01:14:52,ETH 5m UP,UP,5m,eth-5m-1774397400-up,0.99,1.0,30,0.3000,WIN,94.39,62.71,1.5052,0x1cddcf91b4e2547b05d91baf9adf2510d5fdce97a46c30dc390987be17c0716d,98793063068957411140716565194529533805903358743484571699941764233119342863047,1774397400,2026-03-25 01:19:11,1.0
40401a75,2026-03-25 01:24:55,ETH 5m DOWN,DOWN,5m,eth-5m-1774398000-down,0.99,1.0,30,0.3000,WIN,187.49,146.24,1.2821,0xfabf17edf9bc6655f9e79790c88ae86b5e915f157dd1b54620de961f27fc3076,43869733407645866292579459074781150701734177073544643333102125347258232206942,1774398000,2026-03-25 01:29:11,1.0
fcb3a224,2026-03-25 01:25:49,ETH 15m DOWN,DOWN,15m,eth-15m-1774397700-down,0.99,1.0,30,0.3000,WIN,406.27,218.63,1.8583,0xcdb7cd5cfb1f19c4a198c27b00881b70c0f6cc08f62af5e26b9b27dc5b526656,70864396503701854550392701823375625479994066032408465156438352692704315885395,1774397700,2026-03-25 01:34:11,1.0
f0edfe64,2026-03-25 01:29:26,BTC 15m DOWN,DOWN,15m,btc-15m-1774397700-down,0.99,1.0,30,0.3000,WIN,1143.52,524.2,2.1815,0x1ba6d160fd8a72b120d32a80888458463bfcea98e7f5b1fdb96308838cd71407,6537211792315362552864580609177228759794010630538425230369717540810320586087,1774397700,2026-03-25 01:34:11,1.0
1737389f,2026-03-25 01:29:45,BTC 5m UP,UP,5m,btc-5m-1774398300-up,0.99,1.0,30,0.3000,WIN,1668.24,885.69,1.8835,0x0a589437efb0a1760d24c4c10848816b30ffe8d7a32d2bdce582991d4508b275,78565321844265385140837004344692656532258869397798985783721072405276700457974,1774398300,2026-03-25 01:34:11,1.0
541d7b1a,2026-03-25 01:34:01,ETH 5m UP,UP,5m,eth-5m-1774398600-up,0.99,1.0,30,0.3000,WIN,486.2,33.35,14.5787,0xd0cfac576f8bb843e2e0014a13ce135bda01326450a68e8cad9b76ac073156c1,79514887223117689998744062001908990371617328470360299322611314242461681402888,1774398600,2026-03-25 01:39:11,1.0
ec9c96b9,2026-03-25 01:34:05,BTC 5m UP,UP,5m,btc-5m-1774398600-up,0.99,1.0,30,0.3000,WIN,1715.51,1334.56,1.2854,0x4dff819b6dcef80d320a70c1537e0d56ed2b2c988059f288b109741351936547,100474190009762459969550741054333767408246594831832405395661865658230518813615,1774398600,2026-03-25 01:39:11,1.0
d7bdb265,2026-03-25 01:38:22,ETH 5m UP,UP,5m,eth-5m-1774398900-up,0.99,1.0,30,0.3000,WIN,514.02,390.73,1.3155,0x058f57b3b74eeb66ed0b41c1b6a5e39392b0f0a494f08349646778e6955fe280,26605272439055197598765602662486839110931799050651526495057902383116455286323,1774398900,2026-03-25 01:46:11,1.0
08e1ba32,2026-03-25 01:39:04,ETH 15m UP,UP,15m,eth-15m-1774398600-up,0.99,1.0,30,0.3000,WIN,474.1,200.77,2.3614,0xeaa6b50ce1e1883803cc7db7dc990bde7ef2827a8255f2a21940851563e29e4d,22187983658778586314686620945713205674295367375096257989923817168340167141665,1774398600,2026-03-25 01:51:11,1.0
f0ed9387,2026-03-25 01:39:17,BTC 5m UP,UP,5m,btc-5m-1774398900-up,0.99,1.0,30,0.3000,WIN,1186.19,464.4,2.5542,0x59f936b274997b2812085501fca9348c0fbee5dab7220e3cdafe839ba94be63b,6509061346524699988144794892038761496130189006838970735580429969623650303427,1774398900,2026-03-25 01:44:11,1.0
f22fa0bb,2026-03-25 01:49:47,ETH 5m DOWN,DOWN,5m,eth-5m-1774399500-down,0.99,1.0,30,0.3000,WIN,284.77,180.69,1.5760,0xc44fef6fee5f811efa3f6209700ee9a171bd8a16fb785a1cd916d8dc4ed9ecac,68823847376629228893176043967033142452164867278693187074814783769908447849927,1774399500,2026-03-25 01:54:11,1.0
58f2a02b,2026-03-25 01:58:52,ETH 15m DOWN,DOWN,15m,eth-15m-1774399500-down,0.99,1.0,30,0.3000,WIN,923.66,384.95,2.3994,0x34f7f5db37dda0616dc3bea0bed3231aa7ba6e27e3ba60a85da0df859fa708ac,21425369973456438933805843810752820948965339645322280446441815238205050440915,1774399500,2026-03-25 02:06:11,1.0
70a744cd,2026-03-25 01:59:07,BTC 15m DOWN,DOWN,15m,btc-15m-1774399500-down,0.99,1.0,30,0.3000,WIN,951.66,384.88,2.4726,0x3d6ec4c1298d79adf91f1fdb3b03e14745c9621e53ea9a6d7d5a98d862b716e9,35028635212586345923822819205930016203735344424940842483688828471509533194241,1774399500,2026-03-25 02:06:11,1.0
cfc075dd,2026-03-25 01:59:55,BTC 5m DOWN,DOWN,5m,btc-5m-1774400100-down,0.99,1.0,30,0.3000,WIN,480.0,158.19,3.0343,0x11c29c4d333b66a8ef8776655e439807953d6843df974cacc98fd5ebb6735753,64531888947612539011201622820457721855473465672989935387695251970045296806205,1774400100,2026-03-25 02:06:11,1.0
608995bb,2026-03-25 02:04:56,BTC 5m DOWN,DOWN,5m,btc-5m-1774400400-down,0.99,1.0,30,0.3000,WIN,295.57,217.55,1.3586,0xcf44ec4e6b2892a3859ccdee0d80fd34a67a6b45da9fc2c97087c0d6262bbb9a,89349990485919974725906642429323061827667489742196462860040110899724210876215,1774400400,2026-03-25 02:09:11,1.0
05745119,2026-03-25 02:09:35,ETH 5m DOWN,DOWN,5m,eth-5m-1774400700-down,0.99,0.0,30,-29.7000,LOSS,90.0,37.17,2.4213,0x680e0e9b605392fb774eeadeeaf689cf117ec394c3cb00632b5f91d58688b9e8,85227318183035558140039468803658325418113214038611300656398895765600754949050,1774400700,2026-03-25 02:16:11,0.0
d54366af,2026-03-25 02:14:52,ETH 15m UP,UP,15m,eth-15m-1774400400-up,0.99,1.0,30,0.3000,WIN,69.35,35.59,1.9486,0x73b976feead1f90703b5406bdc205b9b0b855f763f905494ca3a7ec6bc29ad46,9998717915286825298919622202238256707140260493455659165385326923856288157264,1774400400,2026-03-25 02:19:11,1.0
040fe067,2026-03-25 02:14:55,BTC 15m DOWN,DOWN,15m,btc-15m-1774400400-down,0.99,1.0,30,0.3000,WIN,1355.9,931.37,1.4558,0xe0ae4a55900a52a272c0c548d1c5df330ad6848bf4dd53a1e669a003644afa98,68187007686327089802861484648863461073495298309768984110438738777338394397419,1774400400,2026-03-25 02:19:10,1.0
6cddd59f,2026-03-25 02:19:11,ETH 5m DOWN,DOWN,5m,eth-5m-1774401300-down,0.99,1.0,30,0.3000,WIN,445.74,271.56,1.6414,0x6e455dfcbdd854d256739cdcd4037c6e569dd8fcdbff86b1021f36792d961928,62713385989557064236758312167761385705312052525750307191001842208268075603846,1774401300,2026-03-25 02:26:11,1.0
48e64cf0,2026-03-25 02:29:02,BTC 15m DOWN,DOWN,15m,btc-15m-1774401300-down,0.99,1.0,30,0.3000,WIN,1921.89,1391.01,1.3817,0xa80b706757cf4e0a659e0f52bf814db6923df9692264aea344b01cb20dfc0b7f,71614381202931729589612283833893440994088875470803756294774162702428090852777,1774401300,2026-03-25 02:34:11,1.0
1a3e015d,2026-03-25 02:29:55,BTC 5m UP,UP,5m,btc-5m-1774401900-up,0.99,1.0,30,0.3000,WIN,1537.6,612.0,2.5124,0xa6a044e3ea703a611a3db995c81afb6ba755712288299d5104c83777be83904a,14970332143031655828003389234514793774437961209911633386857952297057922430329,1774401900,2026-03-25 02:34:11,1.0
5cd83e0c,2026-03-25 02:34:14,BTC 5m DOWN,DOWN,5m,btc-5m-1774402200-down,0.99,1.0,30,0.3000,WIN,693.09,506.59,1.3681,0xb9497b87aa25fcbc803024e460f6c1b8b89d403ff11ec234d9a55a2f80875327,49332108285254250481743508761582192417280513944936665991337536387673730910336,1774402200,2026-03-25 02:39:11,1.0
1ffc80b1,2026-03-25 02:39:57,BTC 5m UP,UP,5m,btc-5m-1774402500-up,0.99,1.0,30,0.3000,WIN,193.71,143.76,1.3475,0xfc61faf56c59e6221306b8a62253233fbb13de71d464ed4b6da0520b2d2744bd,109374094034540837371193770209983989371602814535467539562041283357251728977634,1774402500,2026-03-25 02:42:11,1.0
a78d0995,2026-03-25 02:44:30,ETH 5m UP,UP,5m,eth-5m-1774402800-up,0.99,1.0,30,0.3000,WIN,365.19,241.51,1.5121,0x6f6cd185252d01f2dd1c9ec2b618a1ffc3c33be7d0d35e1e290dd0f2216b9cad,41128217075757570205079819990380481596716584213614322620759857771372887487824,1774402800,2026-03-25 02:49:11,1.0
